
Matthew Kresge,DEVELOPMENT TEAM UBISOFT TORONTO,OUTSOURCE ART LEAD
Kay Huang,DEVELOPMENT TEAM UBISOFT TORONTO,TEAM LEAD CONCEPT ARTIST
Al Jerek Torrijas,DEVELOPMENT TEAM UBISOFT TORONTO,CONCEPT ARTISTS
Brian Zuleta,DEVELOPMENT TEAM UBISOFT TORONTO,CONCEPT ARTISTS
Jacob Griffith,DEVELOPMENT TEAM UBISOFT TORONTO,CONCEPT ARTISTS
Oscar Cafaro,DEVELOPMENT TEAM UBISOFT TORONTO,CONCEPT ARTISTS
Alexander Nikolaev,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL ARTISTS
Andrei Chernykh,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL ARTISTS
Cindy Cook,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL ARTISTS
Frank Trzcinski,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL ARTISTS
Haeyong Cho ,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL ARTISTS
Marco Barrettara,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL ARTISTS
Matt Kazan,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL ARTISTS
Milan Beric,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL ARTISTS
Richard Setiawan ,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL ARTISTS
Victor Rucareanu,DEVELOPMENT TEAM UBISOFT TORONTO,LEVEL ARTISTS
Derek Carter,DEVELOPMENT TEAM UBISOFT TORONTO,MODEL ARTISTS
Edwin Chan,DEVELOPMENT TEAM UBISOFT TORONTO,MODEL ARTISTS
Jonathan Batt,DEVELOPMENT TEAM UBISOFT TORONTO,MODEL ARTISTS
Le Zhang,DEVELOPMENT TEAM UBISOFT TORONTO,MODEL ARTISTS
Peeter Maimik,DEVELOPMENT TEAM UBISOFT TORONTO,MODEL ARTISTS
Shiladitya Bose,DEVELOPMENT TEAM UBISOFT TORONTO,MODEL ARTISTS
Theodore Mills,DEVELOPMENT TEAM UBISOFT TORONTO,MODEL ARTISTS
Tyler Deblock,DEVELOPMENT TEAM UBISOFT TORONTO,TEXTURE ARTISTS
John Lee,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL EFFECTS ARTISTS
Johnathan Reiter,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL EFFECTS ARTISTS
Karen Smith,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL EFFECTS ARTISTS
Matthew Schwartz,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL EFFECTS ARTISTS
Nicholas Chambers,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL EFFECTS ARTISTS
Lan Xin Zhang,DEVELOPMENT TEAM UBISOFT TORONTO,UI ARTIST
Zeke Norton,DEVELOPMENT TEAM UBISOFT TORONTO,CINEMATICS DIRECTOR
Robert Rodas ,DEVELOPMENT TEAM UBISOFT TORONTO,STORYBOARD ARTISTS
Rui Albino,DEVELOPMENT TEAM UBISOFT TORONTO,STORYBOARD ARTISTS
Scott Heatherley,DEVELOPMENT TEAM UBISOFT TORONTO,TEAM LEADS CINEMATIC ANIMATOR
Farrukh Khan ,DEVELOPMENT TEAM UBISOFT TORONTO,RIGGER
Vladimir Somov ,DEVELOPMENT TEAM UBISOFT TORONTO,CINEMATIC MODEL ARTIST
Arbi Faridani,DEVELOPMENT TEAM UBISOFT TORONTO,CINEMATIC ANIMATORS
Brad Semple,DEVELOPMENT TEAM UBISOFT TORONTO,CINEMATIC ANIMATORS
Brandon Dearlove ,DEVELOPMENT TEAM UBISOFT TORONTO,CINEMATIC ANIMATORS
Renee Brunton ,DEVELOPMENT TEAM UBISOFT TORONTO,CINEMATIC ANIMATORS
Rundeep Khaira,DEVELOPMENT TEAM UBISOFT TORONTO,CINEMATIC ANIMATORS
Yevgen Timoshin,DEVELOPMENT TEAM UBISOFT TORONTO,CINEMATIC ANIMATORS
Jason Cook,DEVELOPMENT TEAM UBISOFT TORONTO,TEAM LEAD VIDEO EDITOR
Hayley Harrington,DEVELOPMENT TEAM UBISOFT TORONTO,VIDEO EDITORS
Sylvana Liebregts,DEVELOPMENT TEAM UBISOFT TORONTO,VIDEO EDITORS
Bryan Luren ,DEVELOPMENT TEAM UBISOFT TORONTO,CINEMATIC LIGHTING ARTISTS
Danila Pogalov,DEVELOPMENT TEAM UBISOFT TORONTO,CINEMATIC LIGHTING ARTISTS
Kent Wilson,DEVELOPMENT TEAM UBISOFT TORONTO,CINEMATIC LIGHTING ARTISTS
Petra Muller ,DEVELOPMENT TEAM UBISOFT TORONTO,GRAPHIC DESIGNER
Blain Kramer ,DEVELOPMENT TEAM UBISOFT TORONTO,CINEMATIC SOUND DESIGNER
Trevor Yuile,DEVELOPMENT TEAM UBISOFT TORONTO,COMPOSER
Simon Landry,DEVELOPMENT TEAM UBISOFT TORONTO,MUSIC SUPERVISOR
Carlos Yusim,DEVELOPMENT TEAM UBISOFT TORONTO,SOUND & MUSIC DESIGNER
Aaron Janta,DEVELOPMENT TEAM UBISOFT TORONTO,SOUND DESIGNERS
Anne-Marie Ront,DEVELOPMENT TEAM UBISOFT TORONTO,SOUND DESIGNERS
Cameron Britton,DEVELOPMENT TEAM UBISOFT TORONTO,SOUND DESIGNERS
David Coleman,DEVELOPMENT TEAM UBISOFT TORONTO,SOUND DESIGNERS
James Wells,DEVELOPMENT TEAM UBISOFT TORONTO,SOUND DESIGNERS
Marina Hashemi,DEVELOPMENT TEAM UBISOFT TORONTO,VOICE DESIGNERS
Tim Atkins,DEVELOPMENT TEAM UBISOFT TORONTO,VOICE DESIGNERS
Yannick Spagna,DEVELOPMENT TEAM UBISOFT TORONTO,BRAND DIRECTOR
